identifier,uploadLimit,authorizedFormOfName,contactPerson,streetAddress,telephone,email,fax,website,geoculturalContext,internalStructures,collectingPolicies,holdings,findingAids,openingTimes,accessConditions,disabledAccess,researchServices,reproductionServices,publicFacilities,maintenanceNote,descInstitutionIdentifier,descRevisionHistory,descSources,culture
daa/382,0,South Melbourne Public Library Service,,,,,,,,Note: This institution is now part of the City of Port Phillip Public Library.,,,,,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/446,0,Southern Cross and Districts Historical Society,Secretary,"Yilgarn History Museum, Antares Street, Southern Cross 6426

Postal address:
c/- Post Office, Bodallin 6424",(08) 9047-5010,,,,,Officer in charge: Secretary,"Acquisition of journals, photos, newspapers etc pertaining to the history of Yilgarn Area and towns within that Shire. Also diaries, oral history, autobiographies of people and families who have lived, worked and pioneered in this area. (70% in-house).","Shire Council: Minute books. Individual diaries and published books 1888- . Newspapers published within Southern Cross. Yilgarn Museum: Papers and publications 1888- . Individuals: Books, theses, autobiographies, family trees and records.",,"Open Mon-Sat 9:30am-12pm and 1:30-4pm, Sun 1:30-4pm; closed Sunday mornings, Christmas Day and Good Friday. Reference assistance available in person and by mail. Copying services available for books, journals, original records to A3, photographs, newspapers, maps and plans.",One week's advance notice of visit required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/5,0,"Special Collections, Academy Library, UNSW@ADFA","Co-ordinator, Special Collections","Northcott Drive, Canberra 2600

Postal address:
As above",(02) 6268-6270,specialcollections@adfa.edu.au,(02) 6247-2324,http://www.lib.adfa.edu.au/speccoll/speccoll.htm,,"Officer in charge: Co-ordinator, Special Collections",Australian literary manuscripts; Australian military history manuscripts.,"Doug Robertson Maritime and Naval History Collection: Photographs, negatives, notebooks etc 1825-1982 (25m). Robert Adamson: Manuscripts, correspondence, notebooks 1970-1994 (2.7m). Kate Llewellyn: Manuscripts, diaries, correspondence 1975-1995 (5.45m). David Foster Alex Miller Glenda Adams Lily Brett Robert Gray Dorothy Porter Geoff Page John Forbes John Romeril Nick Enright Alma de Groen","Collection level descriptions of all UNSW@ADFA manuscript collections are available via the Library's catalogue, or by searching the National Library's Register of Australian Archives and Manuscripts (RAAM). A full alphabetical list of the Academy Library's archival collectiosn, and detailed online finding aids for some collections are available at http://www.lib.adfa.edu.au/speccoll/finding_aids/msindex.html","The Academy Library's Special Collections Reading Room is normally open Monday - Friday, 9 am - 5.00 pm throughout the year, except on public and university holidays. Readers planning to visit during ACT school holidays should confirm opening times with Special Collections staff in the Library by telephone on 02 6268 6270 or email specialcollections@adfa.edu.au.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/163,0,"St Alban's Anglican Church, Epping",Archivist,"5 Pembroke Street, Epping 2121

Postal address:
PO Box 79, Epping 2121",(02) 9876-3362,,,,,Officer in charge: Archivist,Parish records and allied material 1890+. (98% in-house).,"Parish Baptismal register 1893- Marriage register 1897- Magazines 1928- Service registers 1892- Photographs 1900- Ephemera 1890-

References: Hubbard, Nigel, 'The Archives of St Alban's Epping', Church Archivists' Society Newsletter 14 (1982): 2.",,"Open by appointment. General reference assistance available. Copying services available for books, journals and original records to A3. Copies of birth, death and marriage certificates are available for a fee.",Minimum age 15 years. Several weeks' advance notice of visit and reason for visit required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/164,0,St Aloysius' College,Archivist,"5 Jeffrey Street, Milsons Point 2060

Postal address:
47 Upper Pitt Street, Milsons Point 2060",(02) 9955-4193,,(02) 9929-6414,,,Officer in charge: Archivist,"Records, photographs and memorabilia relating to the College. (90% in-house).",,,"Open Tues-Thurs 9am-4pm and by appointment; closed Mon and Fri. General reference assistance available. Copying services available for books, journals, original records to A3 and photographs.",4-6 weeks' advance notice of visit required including details of research project so that material can be made ready. Proof of identity required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/165,0,St Catherine's School,Archivist,"Albion Street, Waverley 2024

Postal address:
As above",(02) 9389-9922,,(02) 9369-2470,,,Officer in charge: Archivist,"Records created by or received by the School in the conduct of educational business, personal records of past pupils and staff, together with general history of education.","Registrar: Pupils' (personal) files 1970s- (5m); Pupil registers 1890s- (1m). School: School magazine 1915-(1m). Council: Council minutes 1895- (1m). Secretary's Office: Lists 1970s- (1.5m); General files 1970s- (3m). Deputy Principal: Attendance registers 1940s- (1m).

Quantity: 50m (90% in-house)",,"Open Tues 10am-4pm and by appointment; closed school holidays. General reference assistance available. Copying services available for books, journals, original records to A3 and photographs.",Minimum of one week's advance notice of visit required; purpose and subject of visit must be specified. Some records are permanently closed. Access to records not normally available for research can be gained by authorisation from the Headmistress' Council.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/308,0,St Francis Xavier Seminary,,,,,,,,Note: This institution has closed. The Seminary archives are now held in Adelaide Catholic Archives.,,,,,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/447,0,St Hilda's Anglican School for Girls,Senior Librarian,"Bay View Terrace, Mosman Park 6012

Postal address:
As above",(08) 9384-1822,,(08) 9384-2916,,,Officer in charge: Senior Librarian,,"St Hilda's Anglican School: Annual Reports 1931- (1m); Chronicles 1904- (2m); School History 1896- (1m); Photograph Collection 1896- (5m).

Quantity: 20m (100% in-house).",,"Open Mon-Fri 8am-5pm. General reference assistance available and copying services for books, journals, original records to A3, photographs, newspapers, maps and plans.",Application for access required to be approved by Principal. Advance notice of visit required where possible.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/541,0,"St Ignatius' College, Riverview",Archivist,"Tambourine Bay Rd, Lane Cove 2066

Postal address:
As above",(02) 9882 8222,cjhobbs-faulkner@riverview.nsw.edu.au,(02) 9882 8588,http://www.riverview.nsw.edu.au,,Officer in charge: Archivist,"Records including photographs, official & private papers and memorabilia relating to the college, the Jesuit community and the wider Riverview community including staff, students and old boys. Also includes some material relating to the local area of Riverview, Lane Cove and the Lane Cove River.","Quantity: 300m (100% in-house)

References: Lea-Scarlett, E, 1989 Riverview, Aspects of the Story of Saint Ignatius’ College & its Peninsula 1836 – 1988. 
	Strong, David SJ, 2005 Riverview, An Educational History",,"Riverview Archives is open by appointment Monday to Thursday during term time. General reference assistance available. A limited copying service is available for books, journals, original records to foolscap size and photographs.",Two weeks advance notice of visit is required including details of research project. Proof of identity is required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/166,0,St Margaret's Hospital,,,,,,,,,,Minutes 1922- (30m) Correspondence 1911- (40m) Registers 1894- (10m) Annual reports 1894- (3m) Midwifery/Nursing Education Records 1894-1933 (5m) Books/Journals/Newsletters/Publications 1925- (5m) Historical/Ephemera 1894- (2m) Maps & Plans 1900- (5m) Photographs 1900- (10m) Artifacts 19? (10m),,,"Records of St Margaret's Hospital are held in the Mitchell and Dixson Libraries Manuscript Collection, State Library of New South Wales (MLMSS 6711). Access to the records is restricted.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/167,0,"St Mary's, Star of the Sea College Wollongong",Assistant,"Market Street, Wollongong 2500

Postal address:
PO Box 42, Wollongong East 2520",(02) 4228-6011,,(02) 4229-8555,,,Officer in charge: Librarian,"Information mainly about the Convent and College which has been conducted by the Sisters of the Good Samaritan since 1873:material from the Convent, College, ex-students and their families. (90% in-house).",,,"Open by appointment. General reference assistance available. Copying services for original records to A3, photographs, newspapers, maps and plans.",1 week's advance notice of visit required including details of dates and information required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/554,0,St Patrick’s College Ballarat,SPC Archivist: bdavis@stpats.vic.edu.au,"1431 Sturt Street, Ballarat, Victoria 3350

Postal address:
Locked Bag 31, Ballarat, Victoria   3350",(03) 5331 1688,bdavis@stpats.vic.edu.au,(03) 5311 8150,,,"Officer in charge: Br Brian Julian Davis, Archivist",College Photographic Gallery with digital copies; College Museum; College Annual Magazines and other publications; General College records.,,,Open School Hours by Appointment; Closed School Holidays,"Notice of visit by email, mail or telephone",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/309,0,"St Peters Public Library, Local Studies Collection",Local History Officer,"101 Payneham Road, St Peters 5069

Postal address:
PO Box 62, Stepney 5069",(08) 8362-9225,,(08) 8362-2040,http://www.plain.sa.gov.au/~st.peter/localstu/localstu.htm,,Officer in charge: Local History Officer,Material relating to all aspects of the development of the St Peters council area from pre-European settlement to the present day.,Quantity: 14m (70% in-house),,"Library open Mon, Thurs and Fri 10.30am-6pm , Tues 10:30am-9pm, Sat 9:30am-12pm, Sun 2-5pm; Local History Officer available Tues 1-5pm and Fri 10:30-1:30pm; closed Wed and public holidays. General reference assistance and copying services available.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/168,0,St Stanislaus' College,,"Brilliant Street, Bathurst 2795

Postal address:
PO Box 97, Bathurst 2795",(02) 6331-4177,,(02) 6331-4481,,,Note: This repository has now been closed indefinitely.,College Records transferred from Administration.,,,Closed to the public,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/530,0,St. Vincent's Hospital Archives,The Archivist,"Level 3, Daly Wing, 35 Victoria Parade, Fitzroy, 3065

Postal address:
GPO Box 2900, Fitzroy 3065",(03) 9288 3040,Barbara.Cytowicz@svhm.org.au,(03) 9288 2242,,,"Officer in charge: Barbara Cytowicz, Archivist","Administrative records related to the foundation, development and operations of St.Vincent's Hospital Melbourne, and the working life of its medical, nursing and other staff. Medical records are managed by the Health Information Services Department, not the Archives.","Annual Reports 1893-. Photographs of hospital staff, services, departments, celebrations and building works 1890s-. Surgeons' and physicians' case books 1893-1910. Registers of nurses in the training school 1893-1973. Nurses' identification and training records c. 1929-1953. Minutes and papers of executive and management committees 1920s-. CEO files. Oral histories and research and manuscript papers for Ways of a Hospital (the centenary history of the hospital). Press cuttings and publicity material, principally 1930s-. Staff newsletters 1960s-. Past Nurses' Association papers 1920s-. Instruments and artefacts associated with hospital surgeons, physicians or nursing education.

References: Cytowicz, B., 2002, St Vincent's Hospital, Melbourne, in News Notes, Archives and Manuscripts, Vol 30, No 2 (November). Egan, B. 1993, Ways of a Hospital: St Vincent's Melbourne 1890s - 1990s, Allen & Unwin, St Leonard's, NSW. Skewes, E. RSC 1989, Mother Mary Berchmans Daly: Foundress of St Vincent's Hospital Melbourne, Spectrum Publications, Melbourne. Vellar, I. 2002, The Doers: The History of Surgery at St Vincent's Hospital, Melbourne 1890s - 1950s, Melbourne. Vellar, I. 2004, Surgery and Surgeons at St Vincent's Hospital Melbourne 1950s - 2000, Melbourne.",,"Open by appointment three days per week. Closed on public holidays. There is general reference assistance and a limited copying service for books, journals and original records to A3 size.","Intending visitors should contact the Archivist with details of the nature and purpose of their research prior to their visit. There are access restrictions to some records in accordance with legislative, administrative and donor requirements.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/124,0,Stanton Library,Manager of Historical Services,"234 Miller Street, North Sydney 2060

Postal address:
As above",(02) 9936-8400,,(02) 9936-8440,http://www.northsydney.nsw.gov.au/stanton_library/index.html,,Officer in charge: Manager of Historical Services,The collection is exclusively concerned with records produced by North Sydney Municipal Council.(100% in-house).,,,"Mon to Thurs 9am-9pm, Fri 1pm-5pm, Sat 9am-5pm, Sun 2pm-5pm.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/169,0,State Bank of New South Wales,CBA Archivist,,,,,,,"Officer in charge: CBA Archivist

Note: Collection is closed. The State Bank was taken over in the late 1990's by the Colonial group who in turn have been taken over by the Commonwealth Bank, hence, the State Bank Collection is now part of the Commonwealth Bank's collection.",The collection is now closed. The Acquisition forcus of the Collection was to record the Bank's administrative history. The collection was 100% in-house.,"Government Savings Bank of New South Wales: Board minutes 1909-1920 (1.3m).
	Oral history collection.",,Collection closed. Mail enquiries should be addressed to the CBA Archivist.,Access is restricted. Requests for information should be directed to the CBA Archivist.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/383,0,State Bank of Victoria,,,,,,,,"Note: This institution was closed when the State Bank was acquired by the
Commonwealth Bank of Australia in 1990 and its holdings were
transferred to the Public Record Office, Victoria, on permanent loan
from the Commonwealth Bank. State Bank records that were not part of
the State Bank Archives in 1990 remained in the custody of the
Commonwealth Bank and inquiries concerning these records may be
directed to the Commonwealth Bank Archives.",,,,,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/310,0,State Library of South Australia,"Manager, Special Collections","North Terrace, Adelaide 5000

Postal address:
GPO Box 419, Adelaide 5001",(08) 8207-7250,,(08) 8207-7247,http://www.catalog.slsa.sa.gov.au:1084/screens/opacmenu.html,,"Officer in charge: Manager, Special Collections

Note: Formerly known as the Mortlock Library of South Australiana - State Library of South Australia.",The State Library is responsible for collecting and preserving the non-government records relating to the history of South Australia from pre-white settlement to the present day.,"Collection level access to holdings available via the World Wide Web.

Quantity: 3,865 m (ACA Australian Archival Statistics, 1998)",Series and item level access to selected holdings available.,"Open Mon, Tues, Wed 10.00am-8pm, Thurs & Fri 10.00am-6pm, Sat and Sun 10.00-5.00pm. General reference assistance and copying services available between 10 and 5 weekdays. Referral to paid researchers available. Introductory brochure available.",Identification required for issue of Reader's Ticket which can be issued immediately. One week's advance notice of visit required for appointment with specialist staff. Access to records not normally available for research can be gained by written permission from the donor or authorised agent.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/384,0,"State Library of Victoria, Australian Manuscripts Collection",Manuscripts Librarian,"328 Swanston Street, Melbourne 3000

Postal address:
As above",(03) 8664 7007,Manuscripts@slv.vic.gov.au,(03) 9639 6829,http://www.slv.vic.gov.au/collections/aus_mss/index.html,,Officer in charge: Manuscripts Librarian,"The acquisition of original records which document all aspects of the history and development of Victoria and its inhabitants, from the earliest times until the present day.","Major strengths of the Collection include the following subject areas: 
	
	early European settlement of Victoria (including the papers of the Henty Family, the Port Phillip Association, John Batman and John Pascoe Fawkner).
	
	  
	pastoral industry (eg Clyde Company Papers). 
	gold rushes. 
	nineteenth century immigration. 
	First World War. 
	Labour movement (eg records of the ALP and DLP). 
	welfare (eg records of the Melbourne Orphan Asylum and the Melbourne Benevolent Asylum). 
	churches of various denominations (eg the Congregational Union). 
	arts, especially literature, fine arts and music (eg the Fritz Hart, Lothian and Stephen Murray-Smith papers). 
	environment. 
	architecture (eg records of Stephenson & Turner).

Quantity: c. c7,500 m.

References: Marshall, T. 'The Australian Manuscripts Collection' The La Trobe Library Journal, 12/47 & 48 (September 1992): 76-81. 
	Thompson, John, 'The Australian Manuscripts Collection in the State Library of Victoria: its growth, development and future prospects' The La Trobe Library Journal, 6/21 (April 1978): 8-14. 
	Glover, Anne, Victorian Treasures from the La Trobe Collection, State Library of Victoria. Melbourne: MacMillan, 1980.
	Roberts, Bev., Treasures of the State Library of Victoria. Bondi Juntion, N.S.W.: Focus Publishing, c2003.","Over 1,000 unpublished desriptive list and guides to collections have been prepared. These are available for inspection and are retrieved in the usual manner.
	Entries in National Library of Australia Guide to Collections of Manuscripts Relating to Australia. 
	Approximately 1,000 unpublished descriptive lists and guides to collections have been prepared. These are available for inspection in the Collection.  
	Victoria. State Library. Catalogue of the Manuscripts, Letters, Documents, etc. in the Private Collection. Melbourne, 1961.","The Australian Manuscripts Collection, State Library of Victoria is open Mon-Fri 10am-5pm. Details of retrievel times are available on our website. Appointments by arrangement on 2.00pm - 5.00pm Monday to Friday.  Material is viewed in the Heritage Collections Reading Room which is open Mon-Thur 10am-9pm, Fri-Sun 10am-6pm. General  reference assistance available. Copying services include deferred photocopying, photography and microfilming.","At least one working day's advance notice of a request for material is preferred, especially for material held offsite. Users of the collection are expected to have previously consulted all major published sources of information. Many collections have finding aids which users will be expected to consult before ordering material. Reader's Ticket not required. Some material is subject to restrictions, and may require prior permission before being consulted. The collection is not open to secondary students.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/171,0,State Rail Authority of New South Wales,,"c/- State Records New South Wales, Western Sydney Records Centre, 143 O'Connell Street, Kingswood NSW 2747

Postal address:
As above",(02) 9673-1788,,(02) 9833-4518,,,,,"State Rail Authority and predecessor agencies: Annual reports 1850-(2.8m); Plans and drawings 1855- (200m); Photographs 1870s- (55m); Personal history cards 1910-1991 (322m); Timetables 1874- (10m); Staff journals 1892- (2.1m); Rolling stock cards 1926-1991 (20m). Sydney Railway Company: Correspondence out 1848-1855 (0.2m). Railways of New South Wales: Correspondence out 1855-1867 (0.3m); Commissioners' minute books 1855-1924 (0.3m); Proclaimed plans 1849-1928 (14m).

Quantity: 2,000m

References: Best, Thomas, 'Working on the Railways' Archives and Manuscripts 15/1 (May 1987):48-55 Creevey, Coralie 'Keeping it' Directions in Government (October 1987): 60-62 'Archives get `Best' Treatment' State Wide (November 1988): 4",State Rail Authority of New South Wales Archives Section: Brief Guide to Holdings July 1980.,,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/563,0,"State Records New South Wales, Armidale Repository",,"University of New England Archives, Archives/Heritage Centre, Cnr Dangar and Kentucky Streets, Armidale 2351

Postal address:
As above",(02) 6773-6565,,(02) 6773-6444,,,"See also: State Records New South Wales 
	State Records New South Wales - Western Sydney Records Centre 
	State Records New South Wales - Broken Hill Repository 
	State Records New South Wales - Newcastle Repository (1) 
	State Records New South Wales - Newcastle Repository (2) 
	State Records New South Wales - Wagga Wagga Repository 
	State Records New South Wales - Wollongong Repository",The New England area's important association with mining activity is reflected in the State archives held at Armidale which include a number of mining registers.,,"Concise Guide to the State Archives, 2nd ed. (http://www.records.nsw.gov.au/cguide.htm)",Mon-Fri 9am-5pm.,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/564,0,"State Records New South Wales, Broken Hill Repository",,"The Outback Archives, Broken Hill City Library, Blende Street, Broken Hill 2880

Postal address:
As above",(08) 8088-9266,,(08) 8088-1702,,,"See also: State Records New South Wales 
	State Records New South Wales - Western Sydney Records Centre 
	State Records New South Wales - Armidale Repository 
	State Records New South Wales - Newcastle Repository (1) 
	State Records New South Wales - Newcastle Repository (2) 
	State Records New South Wales - Wagga Wagga Repository 
	State Records New South Wales - Wollongong Repository",This repository is the newest in the system. It holds a fascinating miscellaneous collection of Court records from Tibooburra dating from the 1880s.,,"Concise Guide to the State Archives, 2nd ed. (http://www.records.nsw.gov.au/cguide.htm)","Open Mon, Tues, Thurs, Fri 10am-1pm, 2-5pm, Wed and the 2nd, 3rd and 4th Sat of each month 10am-1pm.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/565,0,"State Records New South Wales, Newcastle Repository (1)",,"University Archives, Auchmuty Library, University of Newcastle, University Drive, Callaghan 2308

Postal address:
As above",(02) 4921-5820,,(02) 4921-6988,,,"See also: State Records New South Wales 
	State Records New South Wales - Western Sydney Records Centre 
	State Records New South Wales - Armidale Repository 
	State Records New South Wales - Broken Hill Repository 
	State Records New South Wales - Newcastle Repository (2) 
	State Records New South Wales - Wagga Wagga Repository 
	State Records New South Wales - Wollongong Repository",The State archives held feature school and other education records.,,"Concise Guide to the State Archives, 2nd ed. (http://www.records.nsw.gov.au/cguide.htm)",Mon-Fri 9:30am-12:30pm and 1:30-5pm.,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/566,0,"State Records New South Wales, Newcastle Repository (2)",,"Newcastle Region Public Library, Laman Street, Newcastle 2300

Postal address:
As above",(02) 4925-8300,,(02) 4929-6568,,,"See also: State Records New South Wales 
	State Records New South Wales - Western Sydney Records Centre 
	State Records New South Wales - Armidale Repository 
	State Records New South Wales - Broken Hill Repository 
	State Records New South Wales - Newcastle Repository (1) 
	State Records New South Wales - Wagga Wagga Repository 
	State Records New South Wales - Wollongong Repository",The State archives held are maintained as part of the Library's Local Studies Collection and include the Hunter Water Board Rate books which start in the 1890s and go through to the 1930s.,,"Concise Guide to the State Archives, 2nd ed. (http://www.records.nsw.gov.au/cguide.htm)","Mon, Wed-Fri 9:30am-5pm, Tues 9:30am-8pm, Sat 10am-5pm.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/24,0,"State Records New South Wales, Sydney Reading Room",Public Access,"2 Globe Street, The Rocks 2000

Postal address:
As above",(02) 9673-1788,info@records.nsw.gov.au,(02) 9833-4518,http://www.records.nsw.gov.au,,"Officer in charge: Director

See also: State Records New South Wales - Western Sydney Records Centre
	
	 
	
	
	State Records New South Wales - Armidale Repository
	
	 
	
	
	State Records New South Wales - Broken Hill Repository
	
	 
	
	
	State Records New South Wales - Newcastle Repository (1)
	
	 
	
	
	State Records New South Wales - Newcastle Repository (2)
	
	 
	
	
	State Records New South Wales - Wagga Wagga Repository
	
	 
	
	
	State Records New South Wales - Wollongong Repository","To preserve records which:document government policy, determination and action; embody citizens' legal rights; and document information about their existence and identity. Records which are valuable for research on all aspects of the history and development of the State, communities, individuals, public administration.","Major holdings are available from the Western Sydney Records Centre and may be pre-ordered. Uncopied records are stored at the Western Sydney Records Centre.

Quantity: 60,000 shelf metres (2007/08 Annual report)

References: Gore, Richard 'Archives Authority of New South Wales: The First 25 years, 1961-1986' Descent 16/3 (September 1986).
	
	 
	
	
	Allen, Michael 'Administration of public archives to 1988' APILS
	
	 (March 1988).","State Records NSW, Archives Investigator, on-line archives information and access system accessible at http://investigator.records.nsw.gov.au/default.aspx.
	
	
	
	
	State Records NSW, Photo Investigator, a searchable database providingaccess to each image and its descriptive metadata, which is linked to Archives Investigator http://investigator.records.nsw.gov.au/asp/photosearch/introduction.htm
	
	
	
	
	A current list of published guides are listed on the website at http://www.records.nsw.gov.au/archives/guides_857.asp
	
	
	
	
	Online indexes are at http://www.records.nsw.gov.au/archives/indexes_online_3357.asp
	
	
	
	
	State Records Authority of New South Wales, Guide to New South Wales State Archives Relating to Convicts and Convict Administration, Sydney:State Records Authority of NSW, 2006.
	
	
	
	
	Archives Authority of New South Wales, Guide to Shipping and FreePassenger Records (2nd edition), Sydney: Archives Authority of NSW, 1984.
	
	
	
	
	Guide to NSW State archives relating to Aboriginal people. State Records NSW 1998 (Online http://www.records.nsw.gov.au/publications/aboriginalguide/aboriginalguidetoc.htm)","Services to the Public : Open Mon-Fri 9am-5pm and Sat 10am-4pm; closed Sunday and public olidays. Reference assistance available. Copying services for original ecords to A2, microfilms, photographs, maps and plans. Introductory rochures available. General reference assistance is available to eading room visitors with some limitation on enquiries by mail or hone. State Records online database (Archives Investigator and Photo Investigator) provides access to records and includes a facility to pre order records in the reading room as well as providing an online copy order service.",Minimum age 18 years. Application for access approved on the spot only for original records in the open access period. 2 forms of identity with signatures required. Closed period of 30 years applies to most records. Access to records not normally available for research can be gained by letter of authority from creating agency.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/567,0,"State Records New South Wales, Wagga Wagga Repository",,"Charles Sturt University Regional Archives, Blakemore Building, Hely Avenue, Wagga Wagga 2650

Postal address:
PO Box 588, Wagga Wagga 2678",(02) 6925-3666,,(02) 6925-3992,,,"See also: State Records New South Wales 
	State Records New South Wales - Western Sydney Records Centre 
	State Records New South Wales - Armidale Repository 
	State Records New South Wales - Broken Hill Repository 
	State Records New South Wales - Newcastle Repository (1) 
	State Records New South Wales - Newcastle Repository (2) 
	State Records New South Wales - Wollongong Repository","Included in this, the most extensive collection of the regional State archives collections, are Local Land Board and Crown Land Agents records from Wagga Wagga, Hay, Griffith and Cootamundra extending back to the 1860s; Court House records from towns throughout the State survey and planning regions of Riverina and Murray (regions 5 and 6); Department of Agriculture records from Wagga Experiment Farm and Wagga Agricultural College; Department of Education school and regional office records; Department of Public Prosecutions records from Wagga Wagga; Department of Police records from Wagga Wagga, Coolamon and Darlington Point; Department of Public Works records from Cootamundra, Hay and Wagga Wagga; Water Conservation and Irrigation Commission records from Deniliquin and Griffith; and Department of Valuer-General Records from Wagga Wagga and Albury.",,"Concise Guide to the State Archives, 2nd ed. (http://www.records.nsw.gov.au/cguide.htm)","Mon-Fri 9am-5pm,Saturday, following the third Wednesday of each month 10:30am-4pm.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
